source,target,value
Kinematics-Linear Motion,Kinematics-Linear Motion,1
Kinematics-Linear Motion,Kinematics-Free Fall,0.25
Kinematics-Linear Motion,Kinematics-Projectile Motion,0.25
Kinematics-Linear Motion,Dynamics -Newton’s Laws of Motion,0.3
Kinematics-Linear Motion,Dynamics -Motion on inclined planes,0.25
Kinematics-Linear Motion,"Work, kinetic energy and potential energy",0.3
Kinematics-Linear Motion,Dynamics-Work-energy theorem,0.3
Kinematics-Linear Motion,Dynamics-Conservation of energy,0.3
Kinematics-Linear Motion,Dynamics-Power,0.3
Kinematics-Linear Motion,Dynamics-Linear momentum,0.286
Kinematics-Linear Motion,Dynamics-Conservation of linear momentum and impulse,0.3
Kinematics-Linear Motion,Dynamics-Elastic collision,0.2
Kinematics-Linear Motion,Dynamics-Inelastic collision,0.3
Kinematics-Linear Motion,Dynamics-Collision in 2-dimension,0.3
Kinematics-Linear Motion,Angular displacement,0.1
Kinematics-Linear Motion,Velocity and acceleration,0.1
Kinematics-Linear Motion,Relation between rotational motion and linear motion,0.1
Kinematics-Linear Motion,Rotational motion at constant angular acceleration,0.1
